2024-08-26 12:34:42 DEBUG TestNG:82 - suiteXmlPath: "F:\Prashant Software Testing\Softwear Testing\3.WorkPlace\Eclipse Projects\EclipsePractice\OpencartV121\master.xml"
2024-08-26 12:34:43 INFO  Utils:112 - [TestNG] Running:
  F:\Prashant Software Testing\Softwear Testing\3.WorkPlace\Eclipse Projects\EclipsePractice\OpencartV121\master.xml

2024-08-26 12:34:55 INFO  TC001_AccountRegistrationTest:15 - **** Starting TC001_AccountRegistrationTest **** 
2024-08-26 12:34:55 INFO  TC001_AccountRegistrationTest:21 - **** Clikced on MyAccount Link
2024-08-26 12:34:56 INFO  TC001_AccountRegistrationTest:24 - **** Clicked on Register Link
2024-08-26 12:34:56 INFO  TC001_AccountRegistrationTest:29 - Providing customer details
2024-08-26 12:34:58 INFO  TC001_AccountRegistrationTest:41 - *** Validating expected message ***
2024-08-26 12:34:58 INFO  TC001_AccountRegistrationTest:61 - **** Finished TC001_AccountRegistrationTest ****
2024-08-26 12:35:04 INFO  TC002_LoginTest:15 - ***Starting TC002 Login Test****
2024-08-26 12:35:06 INFO  TC002_LoginTest:43 - *** Finshed TC002 Login Test
